,blockname,start_date,channel,raw_au
0,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.36783352
1,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.36857215
2,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.36904857
3,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.36925128
4,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.36916912
5,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.3687917
6,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.36810967
7,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.367114
8,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.3657968
9,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.36415085
10,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.36216962
11,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.35984758
12,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.35717988
13,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.35416263
14,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.3507929
15,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.34706867
16,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.34298855
17,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.33855247
18,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.33376133
19,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405A,0.32861692
20,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.5996631
21,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.615839
22,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.6316557
23,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.6470966
24,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.6621457
25,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.676788
26,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.691009
27,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.7047951
28,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.71813333
29,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.7310119
30,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.74342
31,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.75534743
32,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.7667848
33,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.77772385
34,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.7881566
35,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.7980763
36,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.80747694
37,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.8163538
38,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.82470256
39,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465A,0.83252007
40,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.25208002
41,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.26024175
42,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.26858875
43,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.2771046
44,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.28577316
45,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.29457903
46,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.303507
47,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.31254226
48,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.32167038
49,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.3308775
50,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.34014985
51,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.3494738
52,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.358836
53,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.36822316
54,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.37762284
55,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.38702276
56,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.39641103
57,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.40577543
58,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.41510355
59,2022_06_15_abb07,2022-06-15 12:39:05.999999,_405C,0.4243842
60,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.25445986
61,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.25562075
62,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.25707653
63,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.25880703
64,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.26079023
65,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.26300272
66,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.26542014
67,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.26801714
68,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.2707681
69,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.27364716
70,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.27662855
71,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.27968678
72,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.28279674
73,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.2859341
74,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.28907493
75,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.2921966
76,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.2952769
77,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.29829466
78,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.3012299
79,2022_06_15_abb07,2022-06-15 12:39:05.999999,_465C,0.30406353
